vc,prompt_id,date,AI,result
Firgun Ventures,VP6,2026-02-02,gemini,3.5
Firgun Ventures,VP7,2026-02-02,gemini,8.5
Firgun Ventures,VP8,2026-02-02,gemini,8.5
Firgun Ventures,VP9,2026-02-02,gemini,7.5
Firgun Ventures,VP10,2026-02-02,gemini,4.0
Firgun Ventures,VP11,2026-02-02,gemini,8.5
Firgun Ventures,VP12,2026-02-02,gemini,8.5
Firgun Ventures,VP13,2026-02-02,gemini,7.5
Firgun Ventures,VP14,2026-02-02,gemini,4.0
Firgun Ventures,VP15,2026-02-02,gemini,8.5
Firgun Ventures,VP16,2026-02-02,gemini,7.5
Firgun Ventures,VP17,2026-02-02,gemini,8.5
Firgun Ventures,VP18,2026-02-02,gemini,8.5
Firgun Ventures,VP19,2026-02-02,gemini,8.5
Firgun Ventures,VP20,2026-02-02,gemini,8.5
Firgun Ventures,VP6,2026-02-02,perplexity,2.0
Firgun Ventures,VP7,2026-02-02,perplexity,4.0
Firgun Ventures,VP8,2026-02-02,perplexity,8.0
Firgun Ventures,VP9,2026-02-02,perplexity,10.0
Firgun Ventures,VP10,2026-02-02,perplexity,3.0
Firgun Ventures,VP11,2026-02-02,perplexity,10.0
Firgun Ventures,VP12,2026-02-02,perplexity,9.0
Firgun Ventures,VP13,2026-02-02,perplexity,3.0
Firgun Ventures,VP14,2026-02-02,perplexity,1.0
Firgun Ventures,VP15,2026-02-02,perplexity,3.0
Firgun Ventures,VP16,2026-02-02,perplexity,5.0
Firgun Ventures,VP17,2026-02-02,perplexity,7.0
Firgun Ventures,VP18,2026-02-02,perplexity,4.0
Firgun Ventures,VP19,2026-02-02,perplexity,4.0
Firgun Ventures,VP20,2026-02-02,perplexity,2.0
Firgun Ventures,VP6,2026-02-02,chatgpt,3.0
Firgun Ventures,VP7,2026-02-02,chatgpt,6.5
Firgun Ventures,VP8,2026-02-02,chatgpt,1.0
Firgun Ventures,VP9,2026-02-02,chatgpt,1.0
Firgun Ventures,VP10,2026-02-02,chatgpt,4.0
Firgun Ventures,VP11,2026-02-02,chatgpt,7.0
Firgun Ventures,VP12,2026-02-02,chatgpt,5.0
Firgun Ventures,VP13,2026-02-02,chatgpt,4.0
Firgun Ventures,VP14,2026-02-02,chatgpt,2.0
Firgun Ventures,VP15,2026-02-02,chatgpt,6.0
Firgun Ventures,VP16,2026-02-02,chatgpt,5.0
Firgun Ventures,VP17,2026-02-02,chatgpt,4.0
Firgun Ventures,VP18,2026-02-02,chatgpt,5.0
Firgun Ventures,VP19,2026-02-02,chatgpt,7.0
Firgun Ventures,VP20,2026-02-02,chatgpt,4.0
