ID,Company,Timestamp Slow,Active,Country,City,Location,Private/Public,Year Founded,Main Category,Subcategory,LS Main Category,LS Subcategory,Spin-Off,Website,Quantum Adjacency Score,QA score explanation,Core Business,Investment Suitability Score,Explanation Investment Suitability Score,Description,Quantum Life Science Adjacency Score,Explanation QLSA Score,Notable Awards/Top Publications,,Accelerator Programs,Recent Press Coverage,Investors,Notable Individual Investors,Important People,Latest Investment Round,Latest Round Size ($),Total Raised (M USD),Total Raised Categorization,Open Jobs (Sep 2025),Shortlist Firgun (Affinity),Website (Affinity),Priority (Affinity),Sector (Affinity),Sub-Category (Affinity),Round Size (Affinity),Investment Round (Affinity),Funding History (Affinity),Status (Affinity),Description (Affinity),Location - address (Affinity),Location - City (Affinity),Location - State (Affinity),Location - Country (Affinity),Region (Affinity),People (Affinity),Employees (Affinity),Year Founded (Affinity),Alex List of 50 LS (pb),Life Sience? (pb),Description (Pb),Former name (pb),Also known as (pb),Legal Name (pb),Primary Industry Group (pb),Primary Industry Code (pb),Verticals (pb),Company Financing Status (pb),Total Raised (pb),Owernship Status (pb),Website (pb),LinkedIn (pb),Employees (pb),Employee History (pb),Year Founded (pb),Country (pb),Keywords (pb),Business status (pb),Revenue (pb),Gross Profit (pb),Rev Growth (%) (pb),City (pb),Financing Status Note (pb),Former Investors (pb),Primary contact (pb),Primary Contact Title (pb),Active Investors (pb),Services on a Deal (pb),First Financing Data (pb),Description (Asana),MA Category (Asana),Region (Asana),Sector (Asana),CB Insights main categorization,CB Insights sub categorization,GQI Categorization,Description (GQI),Website (GQI),Category (GQI),Annualized Revenue (USD) (Specter),Profitability (Specter),Investors (TQI),Lead Investor (TQI),Domain (Clay),Funding Stage (Clay),Latest Funding Round (Clay),Investors (Clay)
C1,PsiQuantum,01/09/2025,Yes,United States,Palo Alto,"51.509865, -0.118092",Private,2015,Quantum Compute,Hardware - Photonic,Drug Discovery & Development,,Yes – Based on research at Bristol/Imperial (academic spin-out)en.wikipedia.org,psiquantum.com,10,"Developing a fault-tolerant photonic quantum computer, entirely focused on quantum computing hardware.",Yes,1,"PsiQuantum is a large-scale company with significant funding and operations, making it less suitable for a Series A investment focus.","Manufacturer of quantum computers intended to drive advances in climate, finance, agriculture, transportation, communications, and beyond. The company's approach is based on photonic qubits required to deliver a fault-tolerant, general-purpose quantum computer, enabling customers to improve their work to solve real-world problems.",8,"PsiQuantum's quantum computing technology has potential applications in drug discovery, materials science, and cybersecurity, which are relevant to life sciences.",,,N/A (spun out from academia; no accelerator),Featured by WSJ (2021) and Reuters (2023) for its $3.15B valuation and plans for a million-qubit computer,"BlackRock, M12 (Microsoft), Atomico, Founders Fund",Yes – e.g. Peter Thiel (via Founders Fund) (tech billionaire investor),"Jeremy O'Brien, Terry Rudolph, Peter Shadbolt, Mark Thompson",Series E,"1,000",499.09,>200M USD,Found 61 Jobs,No,,,,,,,,,,,,,,,,,,,,"Manufacturer of quantum computers intended to drive advances in climate, finance, agriculture, transportation, communications, and beyond. The company's approach is based on photonic qubits required to deliver a fault-tolerant, general-purpose quantum computer, enabling customers to improve their work to solve real-world problems.",,,,Computer Hardware,"Computers, Parts and Peripherals",Advanced Manufacturing,Venture Capital-Backed,499.09,,,,,,2015,United States,,,,,,,,,,,,,,,,,,Quantum computer makers,Photonics,,"PsiQuantum was formed in June 2016 and based in Palo Alto, California. They are using a photonic approach to manufacture a universal quantum computer at GlobalFoundries a CMOS silicon foundry Their goal is to provide a 1 million physical qubit quantum computer with error correction by the middle of this decade.",https://psiquantum.com/,Hardware,,,,,psiquantum.com,Venture - Series Unknown,750000000,#N/A
C2,Xanadu,01/09/2025,Yes,Canada,Toronto,,Private,2016,Quantum Compute,Hardware - Photonic,Drug Discovery & Development,,No – Founded independently (photonic QC startup),https://xanadu.ai,10,"Fully dedicated to photonic quantum computing, building photonic quantum processors and software.",Yes,8,Strong positioning in a rapidly advancing sector with substantial venture backing and a unique technology offering.,"Operator of a quantum photonic platform intended to build computers that are useful and available to people everywhere. The company's platform leverages advanced artificial intelligence to integrate quantum silicon photonic chips into existing hardware in order to create a full-stack quantum computer, enabling clients to receive a quantum technology-based computing facility using a photonic cluster state technology and solve business problems easily.",6,"Potential applications in drug discovery and diagnostics, but not primarily focused on life sciences.",,,"Creative Destruction Lab (CDL) alumni (Toronto Quantum stream, 2017)",Covered by Physics World and BetaKit (2022–2023) for Boson Sampling breakthrough and networking of photonic QCs,"Bessemer Venture, Tiger Global, Georgian",Yes – e.g. Tim Draper (Draper Associates) as an early investor,Christian Weedbrook (Founder and CEO),Series C,100,191.61,Between 50 and 200M USD,Found 18 Jobs,No,,,,,,,,,,,,,,,,,,,,"Operator of a quantum photonic platform intended to build computers that are useful and available to people everywhere. The company's platform leverages advanced artificial intelligence to integrate quantum silicon photonic chips into existing hardware in order to create a full-stack quantum computer, enabling clients to receive a quantum technology-based computing facility using a photonic cluster state technology and solve business problems easily.",,,,Computer Hardware,Other Hardware,"Artificial Intelligence & Machine Learning, CloudTech & DevOps",Venture Capital-Backed,191.61,,,,,,2016,Canada,,,,,,,,,,,,,,,,,,Quantum computer makers,Photonics,,"Xanadu is a full-stack quantum startup founded in December 2016 and located in Toronto, Canada. They are developing a quantum photonic processor and an open-source full-stack quantum software platform called Strawberry Fields for photonic quantum computing. Strawberry Fields is implemented in Python and includes a quantum programming language called Blackbird. Xanadu has also started publishing results using their software in such diverse fields such as quantum chemistry, graph theory, machine learning and others.",http://www.xanadu.ai/,Multiple,,,,,xanadu.ai,Series C,100000000,"Alumni Ventures, BDC Venture Capital, Bessemer Venture Partners, Business Development Bank of Canada, Capricorn Investment Group, Capricorn Partners, Creative Destruction Lab (CDL), DARPA, FedDev, Forward Ventures, Georgian, Golden Ventures, IQT, OMERS Ventures, Ontario Centres of Excellence, Pegasus Tech Ventures, Porsche Automobil Holding, Radical Ventures, Real Ventures, Silicon Valley Bank, Strategic Innovation Fund, Sustainable Development Technology Canada, Tiger Global Management, Tim Draper"
C3,Pasqal,01/09/2025,Yes,France,Paris,,Private,2019,Quantum Compute,Hardware - Neutral Atom,Drug Discovery & Development,,"Yes – Spin-off from Institut d’Optique and Collège de France research. Pasqal (founded 2019) builds on work by Raimond, Alain Aspect, and others in neutral-atom quantum computing.",https://www.pasqal.com/,10,Building neutral-atom quantum computers – arrays of cold atoms for quantum processing. Core business is quantum computing hardware.,Yes,,,"Developer of a full-stack quantum computing technology designed to simulate complex phenomena for scientific discovery The company's technology is based on qubits made of neutral atoms arranged in large 2D and 3D arrays that can perform analog computing and address general problems such as optimization, drug discovery and machine learning, enabling organizations to address general problems in the fields of optimization of quantum programming.",,,,,N/A (spin-off from Institut d’Optique; no mainstream accelerator),Featured by Sifted and Reuters for €100M Series B and race with U.S. tech giants,"Temasek, Daphni, Quantonation, Bpifrance",Possibly – (Tim Draper also invested via Draper in series B; no other celebrity figures),"Georges-Olivier Reymond (CEO and co-founder), Alain Aspect (Nobel laureate advisor)",Series B,110,117.88,Between 50 and 200M USD,Found 8 Jobs,No,,,,,,,,,,,,,,,,,,,,"Developer of a full-stack quantum computing technology designed to simulate complex phenomena for scientific discovery The company's technology is based on qubits made of neutral atoms arranged in large 2D and 3D arrays that can perform analog computing and address general problems such as optimization, drug discovery and machine learning, enabling organizations to address general problems in the fields of optimization of quantum programming.",,,,Semiconductors,Application Specific Semiconductors,Artificial Intelligence & Machine Learning,Venture Capital-Backed,117.88,,,,,,2019,France,,,,,,,,,,,,,,,,,,Quantum computer makers,Neutral atoms,,"Located in Palaiseau, France (near Paris) and founded in 2019, Pasqal is building a programmable quantum simulator using atomic arrays of neutral atoms. The technology is based upon work done by the Quantum Optics – Atoms group within the Laboratoire Charles Fabry at the Institut d’Optique.",http://pasqal.io/,Hardware,,,,,pasqal.com,Series B,108877900,"ACET Capital, Bpifrance, Daphni, Eni Next, European Innovation Council, Green Sands Equity, Positron Ventures, Quantonation, Runa Capital, Temasek Holdings, TPY Capital, Wa’ed Ventures"
C4,QuEra Computing,01/09/2025,Yes,United States,Boston,,Private,2018,Quantum Compute,Hardware - Neutral Atom,Drug Discovery & Development,,,www.quera.com,10,Focused on neutral-atom quantum computing with Rydberg atom arrays; solely a quantum hardware company.,Yes,10,"As a private company specializing in quantum hardware, QuEra Computing is well-suited for a Quantum VC focused on Series A investments.","Developer of advanced neutral-atoms-based quantum computers designed to solve existing computational problems. The company's computers simulate complex systems, fundamental particle interactions, advanced materials, and chemical compounds as well as enhance machine learning algorithms and data processing algorithms, enabling researchers to make scientific discoveries across disciplines like physics, materials science, and chemistry.",7,"QuEra's quantum computing technology has potential applications in life sciences, particularly in drug discovery and materials science.",,,N/A (academic origins; no Y Combinator etc.),Profiled in TechCrunch (Feb 2025) for Google/SoftBank-led $230M funding; Boston Globe (2025) on its Boston expansion,"Google, SoftBank Vision Fund, Valor Equity","No (institutional investors; interim CEO Andy Ory is tech veteran, not a celebrity investor)","Alex Keesling, CEO",Series C,23,37.14,Between 10 and 50M USD,Found 28 Jobs,No,,,,,,,,,,,,,,,,,,,,"Developer of advanced neutral-atoms-based quantum computers designed to solve existing computational problems. The company's computers simulate complex systems, fundamental particle interactions, advanced materials, and chemical compounds as well as enhance machine learning algorithms and data processing algorithms, enabling researchers to make scientific discoveries across disciplines like physics, materials science, and chemistry.",,,,Computer Hardware,"Computers, Parts and Peripherals","Artificial Intelligence & Machine Learning, Big Data, Manufacturing",Venture Capital-Backed,37.14,,,,,,2018,United States,,,,,,,,,,,,,,,,,,Quantum computer makers,Neutral atoms,,"QuEra Computing is using a neutral atom technology platform to build a scalable, powerful, commercially relevant quantum computing capability. The research team includes many members from the cold atom research groups at Harvard University. They were founded in 2018 and are located in Somerville, Massachusetts.",https://www.quera-computing.com/,Hardware,,,,,quera.com,Venture - Series Unknown,230000000,"Carbide Ventures, Day One Ventures, Fintech Ventures Fund, Frontiers Capital, Google, Google Quantum AI, NVentures, QVT Financial, Rakuten, Sabancı Ventures, Safar Partners, SoftBank Vision Fund, Valor Equity Partners, Paul Maritz, Serg Bell"
C5,IQM Quantum Computing,01/09/2025,Yes,Finland,Espoo,,Private,2018,Quantum Compute,Hardware - Superconducting,,,,https://www.meetiqm.com,10,Developing superconducting quantum processors; a pure-play quantum hardware company (Europe’s leading superconducting QC builder).,Yes,,,"Developer of computer hardware designed to provide technical resolutions through quantum technologies. The company's superconducting quantum circuits and quantum computing specializes in the development of high-speed quantum computers with application-specific processors using superconducting qubits and delivers on-premises quantum computers for research laboratories and supercomputing centers and provides complete access to its hardware, enabling businesses to reduce the error rates that currently limit quantum computers.",,,,,N/A (no traditional accelerator; supported by EU programs),Featured by Sifted (Aug 2023) for selling €30M quantum computers and path to profitability; also in Reuters (2020) for early funding including Tencent,"World Fund, Tencent, BMBF (German govt)",Yes – Tencent Holdings (via VC arm) (no prominent individual angels disclosed),"Jan Goetz (CEO), Mikko Välimäki (Co-CEO)",Series B,275,221.67,>200M USD,Found 53 Jobs,No,,,,,,,,,,,,,,,,,,,,"Developer of computer hardware designed to provide technical resolutions through quantum technologies. The company's superconducting quantum circuits and quantum computing specializes in the development of high-speed quantum computers with application-specific processors using superconducting qubits and delivers on-premises quantum computers for research laboratories and supercomputing centers and provides complete access to its hardware, enabling businesses to reduce the error rates that currently limit quantum computers.",,,,Computer Hardware,"Computers, Parts and Peripherals",,Venture Capital-Backed,221.67,,,,,,2018,Finland,,,,,,,,,,,,,,,,,,Quantum Computer Makers,Superconducting Circuits,,"Founded in 2018 as spin-off of the Quantum Computing and Devices research group of Aalto University, IQM is building scalable hardware for universal general purpose quantum computer based upon superconducting qubits. They provide on-premises quantum computers for research labs and supercomputing centers and offers full access to its hardware. For industrial customers, IQM delivers quantum advantage through a unique application-specific co-design approach. The company is building Finland’s first commercial 54-qubit quantum computer with VTT, and an IQM-led consortium (Q-Exa) is building Germany’s quantum computer that will be integrated into an HPC supercomputer to create an accelerator for future scientific research. The company has over 130 employees with headquarters in Espoo, Finland and additional offices in Bilbao, Spain and Munich, Germany.",,Hardware,,,,,meetiqm.com,Series A,128000000,"Bayern Kapital, Changer Club, EIC Accelerator, Elo, European Innovation Council, European Investment Bank, Maki.vc, Matadero QED, MIG Capital, MIG Fonds, OpenOcean, OurCrowd, QCI, Salvia, Santo Venture Capital, Schwarz Group, Ten Eleven Ventures, Tencent, Tesi, Varma Mutual Pension Insurance Company, Vito Ventures, Vsquared Ventures, Winbond Electronics, World Fund"
C6,Infleqtion,01/09/2025,Yes,United States,Boulder,,Private,2007,Quantum Compute,Hardware - Cold Atom,Not Life Sciences,,Yes – Super.tech spun out from University of Chicago’s EPiQC program (Krastanov and Pranav Gokhale’s PhD research).,https://infleqtion.com/,10,"Broad quantum tech company (formerly ColdQuanta) leveraging cold-atom technology for quantum computers, sensors, and networks.",Yes,1,"Infleqtion is a large, established company with significant funding and operations, making it less suitable for a Series A investment focus.","Developer of quantum sensing technology software designed to deliver high-value quantum information precisely where it is needed. The company's hardware products and AI-powered system address critical market needs in positioning, navigation and timing, global communication security and efficiency, resilient energy distribution, and accelerated quantum computing, enabling clients to learn, research, and develop while exploring their quantum matter innovations.",1,"Infleqtion's focus is primarily on quantum computing and sensing, with limited direct applications in life sciences.",,,"N/A (founded 2007; rebranded via venture funding, not accelerator)",Covered by Futurum Research (2025) for $11M DoD quantum clock contract; Built In (2025) as a top Colorado tech employer,"In-Q-Tel, Glynn Capital, Maverick Ventures",No (investors are institutional; no famous tech personalities publicly involved),"Matt Kinsella (CEO), Dana Anderson (Founder & CTO), Pranav Gokhale (VP of Quantum Software), Paul Lipman (Chief Revenue Officer), Julie McGee (Chief Administrative Officer)",Series B,110,144.68,Between 50 and 200M USD,Found 42 Jobs,No,,,,,,,,,,,,,,,,,,,,"Developer of quantum sensing technology software designed to deliver high-value quantum information precisely where it is needed. The company's hardware products and AI-powered system address critical market needs in positioning, navigation and timing, global communication security and efficiency, resilient energy distribution, and accelerated quantum computing, enabling clients to learn, research, and develop while exploring their quantum matter innovations.",,,,Computer Hardware,Electronic Equipment and Instruments,"Artificial Intelligence & Machine Learning, Infrastructure, SaaS",Venture Capital-Backed,144.68,,,,,,2007,United States,,,,,,,,,,,,,,,,,,Quantum computer makers,Neutral atoms,,"Infleqtion, formerly ColdQuanta, was founded in 2007 as a spin-off from the University of Colorado Boulder. They develop and design instruments, components and systems for scientific and industrial quantum applications such as cold atom experimentation, quantum simulation, quantum information processing, atomic clocks and inertial sensing. Infleqtion is also developing a quantum computer based on laser cooled neutral Cesium atoms.",https://www.infleqtion.com/,Multiple,9300000,,US Department of Energy,US Department of Energy,infleqtion.com,Series C,100000000,"BOKA Group, Breakthrough Victoria, Caruso Ventures, Counterpoint Global, Forma Prime, Foundry Group, Global Frontier Investments, Glynn Capital Management, IQT, Innovate UK, LCP Quantum, Lennox Capital Partners, Maverick Ventures, Olive Technology Ventures, S Ventures, SAIC, S32, Solomon Partners, Sumitomo, U.S. Department of Defense, UK Research and Innovation, US Department of Energy, Wellcome Leap, Christopher Galvin"
C7,Q-CTRL,01/09/2025,Yes,Australia,Sydney,,Private,2017,Quantum Compute,Middleware / Control Systems,Drug Discovery & Development,,Yes – First spin-off from Univ. of Sydney’s quantum groupen.wikipedia.org,https://q-ctrl.com,9,Specializes in quantum control software (“quantum infrastructure”) to improve stability and performance of quantum hardware.,Yes,8,"As a private company with a strong focus on quantum technology, Q-CTRL is well-suited for Series A investment, offering significant growth potential in the quantum sector.","Developer of quantum technology software designed to overcome fundamental challenges in the field of hardware error and instability. The company's quantum computing tool uses a new generation of quantum sensors to shape every application of quantum technology, enabling users to deliver quality performance error-correcting and suppressing techniques globally.",6,"Q-CTRL's quantum control software has potential applications in life sciences, particularly in areas like drug discovery and development, where quantum computing can enhance computational simulations and modeling.",WEF Global Innovator 2020 (selected by World Economic Forum); CEO won Cyber Security Exec of the Year 2023 (Australia),,N/A (no formal accelerator; incubated via university lab),Featured in HPCwire (2023) for quantum gravity sensor project with USGS; TechCrunch (2022) for $27M Series B funding (Sequoia China-led),"DCVC, Sequoia Capital China, Horizons Ventures",Maybe – backed by Horizons Ventures (Li Ka-shing’s fund); no celebrity angels disclosed,Michael J. Biercuk (CEO and Founder),Series B,59,54.26,Between 50 and 200M USD,Found 31 Jobs,No,,,,,,,,,,,,,,,,,,,,"Developer of quantum technology software designed to overcome fundamental challenges in the field of hardware error and instability. The company's quantum computing tool uses a new generation of quantum sensors to shape every application of quantum technology, enabling users to deliver quality performance error-correcting and suppressing techniques globally.",,,,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, SaaS, Space Technology, TMT",Venture Capital-Backed,54.26,,,,,,2017,Australia,,,,,,,,,,,,,,,,,,Quantum Computer Makers,Qubit Control & Error Correction,,"Q-CTRL is an Australian startup led by professor Michael Biercuk from the University of Sydney. They are developing a firmware framework for quantum computers to address the issue of error control. Q-CTRL has recently launched their first software product called Black Opal, a hardware agnostic control software program that works to reduce decoherence and errors at the physical layer. Users who have already signed agreements to use this software include IBM, Bleximo, and others.",https://q-ctrl.com/,Software,,,,,q-ctrl.com,Series B,59000000,"Airbus Ventures, Alpha Edison, Alumni Ventures, Australian Government, DCVC, DataCollective, GP Bullhound, Horizons Ventures, HSG, ICM Partners, IQT, Lockheed Martin Ventures, Main Sequence Ventures, Mindrock Capital, Morpheus Ventures, NTT Finance, Ridgeline, Salesforce Ventures, Salus Ventures, Sequoia Capital, Sierra Ventures, Small Business Research Initiative, Square Peg Capital, TISI, Bill Lightfoot, John Eales"
C8,Oxford Quantum Circuits,01/09/2025,Yes,United Kingdom,Oxford,,Private,2017,Quantum Compute,Hardware - Superconducting,Drug Discovery & Development,,Yes – Oxford University spin-off (tech from Oxford Physics)investmentmonitor.ai,https://oxfordquantumcircuits.com,10,Building enterprise superconducting quantum computers as a cloud service; solely focused on quantum computing hardware (UK’s leading QC startup).,Yes,8,"As a leading quantum computing startup with significant funding and strategic partnerships, OQC presents a strong investment opportunity for a Quantum VC focused on Series A investments.",Developer of quantum computing technology designed to assist in solving challenges like climate change and new drug discoveries. The company's technology is used for the development of unique superconducting circuits that are required for the purpose of quantum computation whilst maintaining qubit quality and control in order to reach a commercially useful level of processing power.,8,"OQC's quantum computing technology has significant potential in drug discovery and development, offering advanced simulations and optimizations for pharmaceutical research.",UK Tech Innovator Award 2022 (largest UK quantum Series A); Top 100 UK Innovators (Telegraph 2023),,Creative Destruction Lab 2018 (Oxford) alum,Covered by TechCrunch (July 2022) for its £38M Series A (UK’s biggest quantum round); widely reported $100M Series B (2023) for 32-qubit upgrade,"Lansdowne Partners, University of Tokyo IPC, Oxford Science Enterprises",No (backed by institutional and corporate VCs; no famous individual investor cited),Gerald Mullally (Interim CEO),Series B,100,119.81,Between 50 and 200M USD,,No,,,,,,,,,,,,,,,,,,,,Developer of quantum computing technology designed to assist in solving challenges like climate change and new drug discoveries. The company's technology is used for the development of unique superconducting circuits that are required for the purpose of quantum computation whilst maintaining qubit quality and control in order to reach a commercially useful level of processing power.,,,,Computer Hardware,"Computers, Parts and Peripherals",TMT,Venture Capital-Backed,119.81,,,,,,2017,United Kingdom,,,,,,,,,,,,,,,,,,Quantum Computer Makers,Superconducting Circuits,,"Oxford Quantum Circuits was founded in June 2017 by Professor Peter Leek, who is based at the Clarendon Laboratory Oxford, and is aiming to build a quantum computer based upon a superconducting circuit approach to forming qubits. The intention is to leverage the latest technology in this field and overcome the key challenge that has confounded researchers to date scaling the system up to a large number of qubits. Parkwalk Opportunities Fund Inc provided them with Series A funding in September 2017 for an undisclosed amount.",http://oxfordquantumcircuits.com/,Hardware,,,,,oxfordquantumcircuits.com,Series B,100000000,"British Patient Capital, Chevron Technology Ventures, HiJoJo Partners, IP Group, Lansdowne Partners, Oxford Science Enterprises, Oxford Investment Consultants LLP, Parkwalk Advisors, Quantum Exponential, SBI Investment, UTEC - The University of Tokyo Edge Capital Partners"
C9,Quintessence Labs,01/09/2025,Yes,Australia,Canberra,,Private,2008,Quantum Compute,Hardware - General,,,,,8,"Provides quantum cryptography hardware (QKD systems, quantum random number generators) – applying quantum tech to cybersecurity.",Yes,,,"Developer of quantum-cybersecurity applications designed to implement robust security strategies to protect data. The company's cybersecurity technologies are used for cryptographic purposes to centralize the management and control of data-security policy and harness quantum science properties, enabling businesses to increase returns on investment from existing assets and reduce data-security complexities.",,,WEF Technology Pioneer 2018; Global CyberTech 100 (2020 & 2022); CEO won 2023 Cyber Security Exec of Year,,N/A (grew via government grants and corporate partnerships),Featured in Forbes Asia (2022) on quantum-safe encryption; profiled by CyberSecurity Connect (2023) for pioneering quantum key security,"Westpac, Telstra Ventures, In-Q-Tel (undisclosed)",No (primarily financial and strategic investors; no celebrity tech figures),,Series B,,37.59,Between 10 and 50M USD,❌ No Job Found,No,,,,,,,,,,,,,,,,,,,,"Developer of quantum-cybersecurity applications designed to implement robust security strategies to protect data. The company's cybersecurity technologies are used for cryptographic purposes to centralize the management and control of data-security policy and harness quantum science properties, enabling businesses to increase returns on investment from existing assets and reduce data-security complexities.",,,,Software,Network Management Software,Cybersecurity,Venture Capital-Backed,37.59,,,,,,2008,Australia,,,,,,,,,,,,,,,,,,Quantum key distribution,Quantum key distribution,,"Based in Deakin, Australia, Quintessence Labs provides quantum true random number generators and quantum key distribution. They currently have in development what they call a second generation quantum key distribution system. This uses a continuous variable bright laser beam for key distribution that can leverage commercial off-the-shelf telecommunications components and existing fiber optic cable to provide very high data throughput rates and a very cost competitive solution.",http://www.quintessencelabs.com/,Communications,,,,,quintessencelabs.com,Venture - Series Unknown,0,"Australian Government Department of Defense, Capital Property Group, Chevron Technology Ventures, IQT, InterValley Ventures, Main Sequence Ventures, National Reconstruction Fund Corporation, TELUS Global Ventures"
C10,Qnami,01/09/2025,Yes,Switzerland,Muttenz,,Private,2016,Quantum Sensing,Photonics / Imaging / Optics,Medical Imaging,,Yes – Spin-off from University of Basel research (Qnami commercializes quantum microscope tech developed with co-founder Prof. Patrick Maletinsky’s lab).,https://qnami.ch/,9,Uses quantum sensors (diamond NV centers) for ultra-sensitive magnetometry imaging; core quantum sensing technology.,Yes,7,Moderately suitable as they are in the early stages with significant technological potential in quantum sensing.,"Developer of diamond-based quantum technologies designed to improve imaging and diagnostic techniques. The company's technologies facilitate measuring the electric and magnetic fields with unique sensitivity by controlling and measuring the state of a single electron, enabling customers to perform non-invasive magnetic imaging at the nanoscale in all types of environments.",4,NV-diamond scanning probes (ProteusQ/Quantilever) are quantum sensors mainly used in materials; life-science use exists but isn’t their core. ,Venture Kick 2018 Winner; Top 100 Swiss Startups (Rank #39 in 2022),,Venture Kick Accelerator (2018); Venture Leaders Tech 2019,Mentioned by Physics World for nanoscale magnet imaging (2021); Nature Nano (2020) for NV sensor advances (academic press),"Quantonation, Investiere, RKK VC (Series A investors)",No (no high-profile individual backers; supported by science VCs and EU funds),"Mathieu Munsch (CEO, Co-Founder); Patrick Maletinsky (Co-Founder); Alexander Stark (CIO); Felipe Favaro (CTO)",Series A,5,7.20,<10M USD,❌ No Job Found,No,,,,,,,,,,,,,,,,,,,,"Developer of diamond-based quantum technologies designed to improve imaging and diagnostic techniques. The company's technologies facilitate measuring the electric and magnetic fields with unique sensitivity by controlling and measuring the state of a single electron, enabling customers to perform non-invasive magnetic imaging at the nanoscale in all types of environments.",,,,Computer Hardware,Electronic Equipment and Instruments,Nanotechnology,Venture Capital-Backed,5.59,,,,,,2016,Switzerland,,,,,,,,,,,,,,,,,,,,,"Founded in 2016 and located in Basel, Switzerland, Qnami designs and produces quantum solutions for high precision sensing and imaging applications. They offer B2C microscopy solutions for device inspection and failure analysis at the nanoscale. In addition, they support companies with a quantum foundry for the design and production of ultra sensitive sensors across several areas including semiconductor, medical imaging and early-stage medical diagnostics.",https://qnami.ch/,Hardware,,,,,qnami.ch,Grant,0,"Constructor Capital, European Innovation Council, Eurostars, HTGF (High-Tech Gruenderfonds), Quantonation, Runa Capital, Venture Kick, Verve Ventures, Zürcher Kantonal Bank"
