ID,Name,Works_for,Work_History,Founder,Country,City,Gender,Main Category,Subcategory,Role,Community,PhD,PhD Type,PhD of,LinkedIn,h-index,Associated With,Other companies founded,Still_Active_in_Prev_Co,Prev. Co-founders,Senior_Role_Big_Tech,Highly_Cited_Professor,Career-long Citations,Specialisation,Other Notable Facts
P1,Christopher Monroe,IonQ,,Yes,USA,Durham,Male,Quantum Compute,Hardware - Ion Trap,Professor at Duke Univ.; Co-founder of IonQ,,Yes,Physics,University of Colorado,,,,No – First startup,N/A,N/A,,Yes – Duke Professor (NAS member)en.wikipedia.org,"Yes – ~11,000+ citations (NAS member 2016)",Trapped-ion quantum computers (co-led first quantum logic gate; IonQ went public in 2021),
P2,Chad Rigetti,Sygaldry Technologies,"[{""Sygaldry Technologies"": {""Role"": ""Co-founder and CEO"", ""Founder"":""Yes"", ""Start Date"":""01/11/2024"", ""End Date"": ""Present""}}, {""QDNL Participations"": {""Role"": ""Venture Partner"", ""Founder"": ""No"", ""Start Date"": ""01/05/2023"", ""End Date"":""Present""}},{""Rigetti Computing"":{""Role"":""Founder and CEO"", ""Founder"":""Yes"",""Start Date"":""01/01/2013"", ""End Date"":""01/11/2022""}}]",Yes,USA,Berkeley,Male,Quantum Compute,Hardware - Superconducting,Founder & ex-CEO of Rigetti Computing,,Yes,Applied Physics,Yale Quantum Institute,https://www.linkedin.com/in/chad-rigetti-9891562/,,,No – First startup,N/A,N/A,Former IBM researcher,No – Not an academic (industry focus),,,
P3,Geordie Rose,Snowdrop Quantum Applications Corporation,"[{""Snowdrop Quantum Applications Corporation"": {""Role"": ""Founder and CEO"", ""Founder"":""Yes"", ""Start Date"":""01/08/2024"", ""End Date"": ""Present""}}, {""Sanctuary AI"": {""Role"": ""Founder and CEO"", ""Founder"": ""Yes"", ""Start Date"": ""01/01/2018"", ""End Date"":""01/11/2024""}},{""Kindred.ai"":{""Role"":""Founder and CEO"", ""Founder"":""Yes"",""Start Date"":""01/06/2014"", ""End Date"":""01/01/2018""}},{""D-Wave Systems"":{""Role"":""Founder and CTO"", ""Founder"": ""Yes"",""Start Date"":""01/04/1999"", ""End Date"": ""01/06/2014""}}]",Yes,Canada,Vancouver,Male,Quantum Compute,Hardware - Annealing / Superconducting,Founder & CEO of Sanctuary AI; Co-founder of D-Wave,,Yes,Physics,University of British Columbia,,,,"Yes – Serial founder (e.g. Kindred AI, Sanctuary)x.comgeordierose.com",No – Left after acquisitionthelogic.co,Kindred co-founder: Dr. Suzanne Gildertcbinsights.com,,No – Not a professor (focused on startups),Not primarily (entrepreneurial impact in QC),"Quantum annealing & entrepreneurship (founded D-Wave, the first commercial quantum computing company)",
P4,Jeremy O’Brien,PsiQuantum,,Yes,USA,Palo Alto,Male,Quantum Compute,Hardware - Photonic,Co-founder & CEO of PsiQuantum,,Yes,PhD in Physics (UNSW)qcaustralia.org,University of New South Wales,https://www.linkedin.com/in/jeremy-o-brien-39482631/,,,No – First startup,N/A,N/A,,Yes – Former Prof. of Physics at Bristolen.wikipedia.org,,,
P5,Christian Weedbrook,Xanadu,,Yes,Canada,Toronto,Male,Quantum Compute,Hardware - Photonic,Founder & CEO of Xanadu,,Yes,PhD in Physics (Univ. of Queensland)clay.com,University of Queensland,https://www.linkedin.com/in/christianweedbrook/,,,No – First startup,N/A,N/A,,No – Not a professor (former postdoc),,,
P6,Ilyas Khan,Quantinuum,,Yes,UK,London,Male,Quantum Compute,Software / Algorithms / Platforms,Founder & Vice Chair of Cambridge Quantum (now Quantinuum),,No,(Background in finance; no PhD),,https://www.linkedin.com/in/ilyas-khan-ksg-2a899453/,,,Yes – Founded TechPacific in 1998jbs.cam.ac.uk,No – No longer involved (focus on CQ),TechPacific co-founder: Johnny Chanhkexnews.hk,Yes – Ex-CEO TechPacific; senior roles at Citigroup/UBSjbs.cam.ac.uk,No – Not an academic (business leader),,,
P7,Steve Brierley,Riverlane,,Yes,UK,Cambridge,Male,Quantum Compute,Middleware / Control Systems,Founder & CEO of Riverlane,,Yes,PhD in Quantum Info (Univ. of York)event.technologyreview.com,University of York,https://www.linkedin.com/in/steve-brierley-72127a142/,,,No – First startup,N/A,,Yes – Spent ~10 years at GCHQ (UK cyber agency)event.technologyreview.com,No – Former Cambridge research fellow (not a professor)event.technologyreview.com,,,
P8,Ilana Wisby,Ilana Wisby Advisory,"[{""Oxford Quantum Circuits"":{""Role"": ""Founding CEO"", ""Founder"":"" Yes"",""Start Date"":""01/04/2018"", ""End Data"": ""01/06/2024""}}]",Yes,UK,Oxford,Female,Quantum Compute,Hardware - Superconducting,"Quantum & Deep Tech Advisor, Strategy Consultant, Speaker, NED | Independent Professional",,Yes,"PhD in Quantum Physics (Royal Holloway, Univ. of London)weforum.org",University of London,https://www.linkedin.com/in/ilanawisby/,,Oxford Quantum Circuits,Yes – Serial deep-tech entrepreneurinvestmentmonitor.ai,No,,,No – Not a professor (industry CEO),,,
P9,Michael J. Biercuk,Q-CTRL,,Yes,Australia,Sydney,Male,Quantum Sensing,Middleware / Control Systems,Founder & CEO of Q-CTRL; Professor at Univ. of Sydney,,Yes,PhD in Physics (Harvard University)en.wikipedia.org,Harvard University,,,,No – First startup,N/A,,,Yes – Professor of Quantum Physics at U. Sydneyen.wikipedia.org,,,
P10,Vikram Sharma,Quintessence Labs,,Yes,Australia,Canberra,Male,Quantum Comms/Cryptography,PQC / Quantum-Safe Software,Founder & CEO of QuintessenceLabs,,Yes,PhD in Quantum Physics (Australian National Univ.)quintessencelabs.com,Australian National University,,,,Yes – Founded 3 tech startups priorquintessencelabs.com,No – Focus now on QuintessenceLabs,,,No – Not a professor (industry focus),,,
P11,Grégoire Ribordy,ID Quantique,,Yes,Switzerland,Geneva,Male,Quantum Comms/Cryptography,QKD Hardware,Co-founder & CEO of ID Quantique,,Yes,PhD in Physics (Univ. of Geneva)verve.vc,University of Geneva,,,,No – First startup,N/A,Co-founders: Prof. Nicolas Gisin & Prof. Hugo Zbindenverve.vc,,No – Not a professor (worked with academic co-founders),,,
P12,Jan Goetz,IQM Quantum Computers,,Yes,Germany,Munich,Male,Quantum Compute,Hardware - Superconducting,Co-founder & CEO of IQM Quantum Computers,,Yes,"PhD in Physics (TU Munich, 2016)foresight.orgoezratty.net",Technical University of Munich,,,,No – First startup,N/A,N/A,,No – Not a professor (completed postdoc in 2017)foresight.org,64000,,
P13,Pan Jianwei,QuantumCTek,,Yes,China,Hefei,Male,Quantum Comms/Cryptography,Quantum Networks / Infrastructure,Professor at USTC; Chief Scientist of China’s Quantum Satellite Project,"Director, National Lab of Quantum Info, China; Co-Founder, QuantumCTek (QKD company, 2009)",Yes,"PhD in Physics (Univ. of Vienna, 1999)thequantuminsider.com",University of Vienna,,,,No – First startup,N/A,Co-founders: Prof. X.-B. Zhu & colleagues (USTC),,Yes – Professor at USTC; Royal Society Fellowthequantuminsider.comthequantuminsider.com,"Yes – >55,000 citations (Royal Society Fellow 2023)",Quantum communication & entanglement (led first quantum satellite “Micius”),
P14,Jungsang Kim,IonQ,,Yes,USA,Durham,Male,Quantum Compute,Hardware - Ion Trap,Professor at Duke Univ.; Co-founder of IonQ,,Yes,PhD in Physics from Stanford University (1999).,Stanford University,,,,No – IonQ was his first startup (previously an academic and Bell Labs researcher).,N/A.,N/A – (No prior company; current co-founder is C. Monroe).,,Yes – Distinguished Professor of ECE & Physics at Duke University (fellow of APS and Optica).,55000,,
